Year,All,Tuition/Fees,2020 1$ EQV,Inf/Adj,,,
1999,95737.44,22228.00,1.55,34530.92,,,
2000,98314.24,23094.00,1.50,34709.53,,,
2001,96441.50,23995.00,1.46,35085.71,,,
2002,98782.25,24930.00,1.44,35865.25,,,
2003,101582.40,25902.27,1.41,36433.65,,,
2004,113327.87,27171.48,1.37,37227.52,,,
2005,113029.54,28667.00,1.33,37989.43,,,
2006,113745.96,30194.00,1.28,38762.60,,,
2007,118542.80,31794.00,1.25,39686.30,,,
2008,113222.19,33479.00,1.20,40244.37,,,
2009,114616.44,35124.00,1.21,42372.54,,,
2010,112913.36,36683.00,1.19,43539.11,,,
2011,112873.86,38886.00,1.15,44741.57,,,
2012,112617.27,40809.00,1.13,46002.15,,,
2013,117099.40,42849.00,1.11,47604.46,,,
2014,116644.44,45377.00,1.09,49608.28,,,
2015,118718.96,46966.00,1.09,51284.58,,,
2016,114707.40,48376.00,1.08,52166.15,,,
2017,113941.11,49949.00,1.06,52738.87,,,
2018,110116.90,51447.00,1.03,53025.40,,,
2019,105279.20,52524.00,1.01,53171.98,,,
2020,102411.45,55000.00,1.00,55000.00,,,