Year,All,Full,Assoc,Assist
1999,95737.44,118499.15,84106.44,68567.89
2000,98314.24,120336.19,86407.47,68847.92
2001,96441.50,122184.96,87548.52,71244.72
2002,98782.25,124735.33,91073.16,71824.90
2003,101582.40,127045.88,94992.48,77614.45
2004,113327.87,135908.77,105092.97,84679.73
2005,113029.54,136785.54,102905.57,80994.38
2006,113745.96,137334.51,102225.14,76297.52
2007,118542.80,139887.02,106370.36,83860.32
2008,113222.19,134946.54,102143.64,75018.25
2009,114616.44,135710.35,98883.78,71979.86
2010,112913.36,132801.05,97786.32,72093.49
2011,112873.86,133124.42,99181.72,77205.26
2012,112617.27,135365.06,100768.22,78223.35
2013,117099.40,138430.60,102212.00,81658.50
2014,116644.44,140476.20,103744.68,80131.56
2015,118718.96,140171.30,106356.43,82091.10
2016,114707.40,139827.47,108464.04,78909.99
2017,113941.11,137673.52,104273.29,79024.61
2018,110116.90,137488.17,101035.40,75825.51
2019,105279.20,137672.80,102242.30,84020.90
2020,102411.45,134729.29,98242.92,79876.90